USB-ISS Module ID: 7 
USB-ISS Software v: 6 

 
 >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>   DATOS DE LOS SENSORES   >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 

    Acelerómetro			    Magnetómetro		              Giroscopio		  Botones 

  X        Y        Z			 X        Y        Z			 X        Y        Z		  B1   B2 
0.000  -0.031  -1.078 			211	-1122 	-867			145	-84       45		 OFF   OFF
 
-0.016  -0.031  -1.078 			210	-1123 	-866			152	-72       31		 OFF   OFF
 
-0.016  -0.031  -1.078 			211	-1121 	-867			174	-85       47		 OFF   OFF
 
0.000  -0.016  -1.078 			210	-1122 	-867			154	-73       74		 OFF   OFF
 
-0.016  -0.031  -1.094 			209	-1122 	-864			169	-59       78		 OFF   OFF
 
-0.016  -0.016  -1.078 			211	-1122 	-866			152	-85       63		 OFF   OFF
 
-0.016  -0.016  -1.078 			210	-1121 	-867			116	-89       65		 OFF   OFF

